id,created_at,text,screen_name,description,location,followers_count,statuses_count,retweet_count
"793442814575116288","2016-11-01","ha ha ha","b2646p","christian father natur american conserv love tea parti individu freedom despis social communism nazism anarch relativ","NJ","1286","49263","0"
"793442811324407808","2016-11-01","rt foxandfriend edklein presid obama politic doj loretta lynch interf clinton investigat","steve62269","born pa son brother veteran husband father american god famili countri it s better sorri sorri nt phd sensum communem","IL","317","39461","747"
"793442811634941952","2016-11-01","rt foxnew clinton aid left classifi info behind china trip","sophiafisher66","mom entrepreneur polit junki","MI","286","29621","1623"
"793442813807656960","2016-11-01","rt newtgingrich washington postabc poll absurd trump move point last daysh never point behi","TheDiceRLoaded","baker thing fatten fear neighbor life short eat cooki maga peopl other block","NY","357","37223","5720"
"793442810208854016","2016-11-01","rt fiveright redgroselynd on march hillari paid peopl trump ralli beaten see next morn","LecilMiller","christian conserv advoc no global back trump proud american no list","LA","531","16542","108"
"793442815883739136","2016-11-01","rt uthornsrawk hillari clinton drink bing drunk tweet lol hillaryclinton russian dream head med n","TRUMPsChick","we the peopl won on novemb presid donald jtrump and beauti first ladi melania will take the oath on januari great day in america","IL","687","4243","6"
"793442814776471552","2016-11-01","rt newtgingrich washington postabc poll absurd trump move point last daysh never point behi","slinhartley","stay home mom amaz boy conserv love sport","NC","448","4766","5720"
"793442817674711040","2016-11-01","rt foxandfriend tgowdysc comey nt tell clinton set server lie i nt know s respons ht","mikerector","electron techhobbyistenthusiast arduino enthusiast ham radio oper prepper love roadtrip blue ridg parkway iamkratom","NC","166","1364","3264"
"793442823437770752","2016-11-01","if yuenglingb support trump i ll it s like nt better beer avail","paul_d","","MA","33","4785","0"
"793442822904950784","2016-11-01","rt thedcpolit wikileak here how the clinton free privat jet scam work","helena_jennie","the evil world almost alway come ignor good intent may much harm malevol lack understand a camus","NV","4611","68045","6799"
"793442823806734337","2016-11-01","rt humansvstrump clinton look trump s best poll all other lose big and odd still sorri trum","tkhan74","i nt know put i m kind big deal i mani leatherbound book hous smell rich mahogani","PA","6251","57777","50"
"793442819029536768","2016-11-01","rt realdonaldtrump crook hillari allow run presid she delet email after get subpoena u","Tom_woods4","smell like updog","NY","436","10397","20320"
"793442826281299969","2016-11-01","rt mitchellvii so insan sampl trump lead independ point win poll my god could bias","t2gunner","texan love wife life kid god libertarian constitutionalist patriot nra cruz packer star irish lsu hookem gigem maga kag","TX","43766","233148","314"
"793442831717236741","2016-11-01","rt billclintonthof this yugee news dodg keep factori mi amp oh instead move mexico only trump win h","mikeyinMD","let s voic peac revolut proud deplor support djt","MD","528","8285","145"
"793442826084286464","2016-11-01","rt berniesand not pay tax make trump anoth greedi billionair avoid pay fair share tax children","Steve_Dovi","forza juve","NY","321","3732","4334"
"793442830362435584","2016-11-01","rt heathernauert elect hillaryclinton give us except also scandal say speakerryan foxandf","GvilleFloGirl","walkaway","FL","2577","14057","102"
"793442828579774464","2016-11-01","trump tell support vote twice fight voter fraud","DC4Progress","volunt organ dc econom social justic resist","WA","1572","1337","3"
"793442825656414208","2016-11-01","rt mediait bretbaier hillari sell usa uranium putin claim trump amp bff s say never sentrecei","mimisteph63","qwe are the news nowq maga thestormiscom thegreatawaken princess king king lord lord","TX","6311","89878","1"
"793442826377920512","2016-11-01","concern fbi amp justic r say ll rush email elect amp miss someth countri nt deserv rush job deserv truth","Morlen4Distrct1","conserv constitutionalist retir special educ teacher retir armi spous duti honor countri","TX","2264","50379","0"
"793442831989866496","2016-11-01","sydneyartoon sydney you re wonder elect is rig fact","EMTalkery","novel vid w john cullum","NY","8442","352370","0"
"793442830899355648","2016-11-01","rt heroassang who blame hillaryclinton fbi crimin investig go elect hillaryforprison","tadams1234bg","trump support maga southern girl amend l ve america believ constitut follow back trump peep","SC","18173","106799","774"
"793442830580584450","2016-11-01","iansomerhald someth deepli disturb peopl trump get elect","marmar86091","","CT","8","64","0"
"793442842823778305","2016-11-01","rt hillaryclinton with day left wait rt agre trump immedi disclos tie connectio","rg564","","VA","10","14","20813"
"793442835966164994","2016-11-01","susan sarandon say crookedhillari danger trump trumptrain","Crossbearer1956","simul justus et peccat twitter attempt censor daili shadowban ifb maga veteran","NC","23486","225805","4"
"793442834942685184","2016-11-01","rt donald trump find abus star protector amp per usual embrac less fortun way crimin hillari clint","face23785","retir air forc vet astronomi enthusiast support libertarian","PA","236","34912","1458"
"793442834766401536","2016-11-01","the fbi inquiri russia possibl role continu investig email involv m","lachristygreen","nola born famili la sinc law religion polit ethic global affair alwayswithh realdemocrat","LA","3312","106114","0"
"793442834216923136","2016-11-01","these map show clinton s essenti voter via motherjon","aleighgrrrr","proud mom love daughter golden state warrior sf giant grayson","CA","1607","18012","0"
